,Quick Lookup,USDA Symbol,Available Flag,Local Flag,Online Flag,Article Flag,Local Count,Online Counts,Article Counts,Local Names,Online Names,Article Names,Super Plant,Blurb,Recommendation Score,QUIZ_BEE,QUIZ_BUTTERFLY,QUIZ_HUMMINGBIRD,Plant Type,Scientific Name,Common Name,Plant Family,Native Status,Distribution in USA,Workhorse,Flower Color,Showy,Flowering Months,Height (feet),Lifespan,Growth Form,Shape and Orientation,Fall Conspicuous,Leaf Retention,Sun Exposure,Soil Moisture,Moisture Use,Soil Texture,Salt Tolerance,pH (Range),Fertility Requirement,Growth Rate,Active Growth Period,Hedge Tolerance,Resprout Ability,Drought Tolerance,Fire Tolerance,Palatability (Browsing/Grazing),Propagation,Commercially Available,Pollinator Value,Benefits To Pollinators,Pollinators,Native Bees (except Bombus),Bombus,Honey Bees,"Beetles, Wasps, Flies",Moths,Butterflies,Monarchs,Nesting and Structure (Bees),Larval Host (Monarch),Larval Host (Butterfly),Larval Host (Moth),Larval Species (Lepidoptera),Hummingbirds,Bats,Wind
10,Actaea podocarpa,ACPO11,0,0,0,0,0,4,0,,PlantMoreNatives.com,WCT STAFF FAVORITES PLANT LIST,No,,2.2,No,Yes,Yes,Herb (perennial),Actaea podocarpa,Mountain Bugbane,Ranunculaceae,L48 (N),"GA, IL, KY, MD, NC, PA, SC, TN, VA, WV",Pollinator,White,Yes,Jul–Sep,2.5–4,,,,,,"Part Shade, Shade","Moist, Dry",,,,,,,,,,,,,,Available 2017,Medium,Adult Food,Butterflies; Hummingbirds,,,,,,Yes,,,,,,,Yes,,
11,Actaea racemosa,ACRA7,1,1,1,1,6,4,3,"Collins Glenside, Edge ot Woods Orefield, Gino's Newtown, Hungry Hook Bainbridge, Northeast Quakertown, Perennial New Bloomfield",PlantMoreNatives.com,Longwood Gardens,Yes,,7.0,Yes,Yes,Yes,Herb (perennial),Actaea racemosa,Black Baneberry,Ranunculaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, GA, IA, IL, IN, KY, MA, MD, ME, MI, MO, MS, NC, NJ, NY, OH, PA, SC, TN, VA, WV",Workhorse/Pollinator,White,Yes,May–Jul,3–5,,,,,,"Part Shade, Shade",Moist,,Medium,,,,,,,,,,,,Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Butterfly); Hummingbirds",Yes,Yes,,Yes,Yes,Yes,,,,Yes,,"Celastrina argiolus lucia/neglecta, Celastrina ladon, Celastrina neglectamajor",Yes,,
12,Actaea rubra,ACRU2,1,0,1,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.6,Yes,No,No,Herb (perennial),Actaea rubra,Red Baneberry,Ranunculaceae,"L48 (N), AK (N), CAN (N)","AK, AZ, CA, CO, CT, IA, ID, IL, IN, KS, MA, ME, MI, MN, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, UT, VT, WA, WI, WY",Workhorse/Pollinator,White,Yes,Apr–Jun,1.5–3,,,,,,"Sun, Part Shade, Shade","Moist, Dry",,Medium,,,,,,,,,,,,Available 2017,High,Adult Food; Larval Food,"Native Bees; Bombus; Beetles, Wasps, Flies; Moths; Larval Host (Moth)",Yes,Yes,,Yes,Yes,,,,,,Yes,Eupithecia strattonata,,,
13,Adiantum pedatum,ADPE,1,1,1,0,6,4,0,"Collins Glenside, Gino's Newtown, Hungry Hook Bainbridge, Keystone Robesonia, Northeast Quakertown, Redbud Media",PlantMoreNatives.com,Longwood Gardens,No,,5.0,No,No,No,Herb (perennial),Adiantum pedatum,Northern Maidenhair,Pteridaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, VA, VT, WI, WV",Workhorse,Brown,No,Jun–Aug,1.3,Moderate,Rhizomatous,Semi-Erect,Color,Deciduous,"Sun, Part Shade, Shade","Moist, Dry",Medium,,None,4.6–6.6,High,Moderate,"Spring, Summer",None,No,Low,Medium,,"Container, Sprig",Available 2017,None Known,,,,,,,,,,,,,,,,,
14,Aesculus flava,AEFL,1,1,0,0,3,5,0,"Go Native Trees, Musser Indiana, Redbud Media",PlantMoreNatives.com,Longwood Gardens,No,,6.2,Yes,No,Yes,Tree,Aesculus flava,Yellow Buckeye,Hippocastanaceae,L48 (N),"AL, DC, GA, IL, IN, KY, MD, MS, NC, NJ, NY, OH, PA, SC, TN, VA, WV",Pollinator,Yellow,Yes,May–Jun,50–90,Long,Single Stem,Erect,Color,Deciduous,"Sun, Part Shade, Shade","Moist, Dry",High,Medium,None,5–7,High,Moderate,"Spring, Summer",None,Yes,Low,Low,Low/,"Seed, Container, Bare root",Available 2017,Medium,Adult Food; Larval Food,Native Bees; Larval Host (Moth); Hummingbirds,Yes,,,,,,,,,,Yes,"Cameraria aesculisella, Hyalophora cecropia, Hyphantria cunae, Orgyia leucostigma",Yes,,
15,Aesculus glabra,AEGL,1,1,0,0,2,4,0,"Go Native Trees, Redbud Media",PlantMoreNatives.com,Longwood Gardens,No,,6.6,Yes,No,Yes,Tree,Aesculus glabra,Ohio Buckeye,Hippocastanaceae,"L48 (N), CAN (N)","AL, AR, GA, IA, IL, IN, KS, KY, ME, MI, MN, MO, MS, NE, NH, NJ, NY, OH, OK, PA, SD, TN, TX, VA, WI, WV",Pollinator,Yellow–green,Yes,Apr–May,65–100,Short,Single Stem,Erect,Color,Deciduous,"Sun, Part Shade, Shade","Moist, Dry",Medium,,None,5–7.1,Medium,Rapid,"Spring, Summer",None,Yes,Medium,Low,Low/Low,"Seed, Container, Bare root",Available 2017,High,Adult Food; Larval Food,"Native Bees; Bombus; Beetles, Wasps, Flies; Larval Host (Moth); Hummingbirds",Yes,Yes,,Yes,,,,,,,Yes,"Amyelois transitella, Cameraria aesculisella, Hyphantria cunae, Lophocampa caryae, Orgyia leucostigma, Zeiraphera claypoleana",Yes,,
16,Aesculus parviflora,AEPA2,1,1,1,0,6,4,0,"Archewild Quakertown, Collins Glenside, Earthbound Ephrata, Gino's Newtown, Northeast Quakertown, Redbud Media",PlantMoreNatives.com,Longwood Gardens,No,,5.2,No,Yes,Yes,Shrub,Aesculus parviflora,Bottlebrush Buckeye,Hippocastanaceae,L48 (N),"AL, DC, GA, NJ, NY, PA, SC",Pollinator,White,Yes,Jul–Aug,6–12,,,,,,"Part Shade, Shade",Moist,,,,,,,,,,,,,,Available 2017,Medium,Adult Food,Bombus; Butterflies; Hummingbirds,,Yes,,,,Yes,,,,,,,Yes,,
17,Agalinis auriculata,AGAU3,1,0,1,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.2,Yes,No,No,Herb (annual),Agalinis auriculata,Earleaf False Foxglove,Scrophulariaceae,L48 (N),"AL, AR, DC, IA, IL, IN, KS, KY, MD, MI, MN, MO, MS, NJ, OH, OK, PA, SC, TN, TX, VA, WI, WV",Pollinator,"Pink, Purple",,Aug–Sep,3,,,,,,,,,,,,,,,,,,,,,Available 2017,Medium,Adult Food,Native Bees; Bombus; Honey Bees,Yes,Yes,Yes,,,,,,,,,,,,
18,Agalinis purpurea,AGPU5,0,0,0,0,0,4,0,,PlantMoreNatives.com,XERCES Pennsylvania Pollinator Mix - XERC00105,No,,2.6,Yes,Yes,No,Herb (annual),Agalinis purpurea,Purple False Foxglove,Scrophulariaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WI, WV",Pollinator,"White, Red, Purple",,Apr–Oct,,,,,,,"Sun, Part Shade, Shade","Wet, Moist",,,,,,,,,,,,,,Available 2017,High,Adult Food; Larval Food,"Native Bees; Bombus; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly)",Yes,Yes,,Yes,,Yes,,,,Yes,,Junonia evarete,,,
19,Agalinis tenuifolia,AGTE3,1,1,1,0,1,4,0,Arcadia Washington,PlantMoreNatives.com,XERCES Pennsylvania Pollinator Mix - XERC00105,No,,3.6,Yes,Yes,No,Herb (annual),Agalinis tenuifolia,Slenderleaf False Foxglove,Scrophulariaceae,"L48 (N), CAN (N)","AL, AR, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV, WY",Pollinator,,,,,,,,,,,"Wet, Moist, Dry",,,,,,,,,,,,,,Available 2017,High,Adult Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies",Yes,Yes,Yes,Yes,,Yes,,,,,,,,,
20,Agastache foeniculum,AGFO,1,1,1,1,6,6,2,"Arcadia Washington, Collins Glenside, Gino's Newtown, Keystone Robesonia, Perennial New Bloomfield, Redbud Media",ErnstSeed.com,XERCES Pennsylvania Pollinator Mix - XERC00105,Yes,,6.5,Yes,Yes,Yes,"Shrub, Herb (perennial)",Agastache foeniculum,Blue Giant Hyssop,Lamiaceae,"L48 (N), CAN (N)","CO, CT, DE, IA, IL, KY, MI, MN, MT, ND, NE, NH, NJ, NY, PA, SD, WA, WI, WY",Workhorse/Pollinator,Blue,Yes,Jul–Oct,2–4,,,,,,"Sun, Part Shade",Dry,,,Medium,,,,,,,,,,,Available 2017,Very High,Adult Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Nesting and Structure (Bees); Hummingbirds",Yes,Yes,Yes,Yes,,Yes,,Yes,,,,,Yes,,
21,Agastache nepetoides,AGNE2,1,1,1,0,3,5,0,"Archewild Quakertown, Edge ot Woods Orefield, Hungry Hook Bainbridge",PlantMoreNatives.com,XERCES Pennsylvania Pollinator Mix - XERC00105,No,,8.0,Yes,Yes,Yes,"Shrub, Herb (perennial)",Agastache nepetoides,Yellow Giant Hyssop,Lamiaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, NC, NE, NJ, NY, OH, OK, PA, SC, SD, TN, VA, VT, WI, WV",Workhorse/Pollinator,Yellow,Yes,Jun–Aug,2–4,,,,,,"Sun, Part Shade","Moist, Dry",,,Medium,,,,,,,,,,,Available 2017,Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Monarchs; Larval Host (Butterfly); Hummingbirds",Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Celastrina argiolus lucia/neglecta,Yes,,
22,Agastache scrophulariifolia,AGSC,1,1,1,0,2,5,0,"Arcadia Washington, Archewild Quakertown",PlantMoreNatives.com,XERCES Pennsylvania Pollinator Mix - XERC00105,No,,5.0,Yes,Yes,Yes,"Shrub, Herb (perennial)",Agastache scrophulariifolia,Purple Giant Hyssop,Lamiaceae,"L48 (N), CAN (N)","CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, NC, NE, NH, NJ, NY, OH, OK, PA, SC, SD, TN, VA, VT, WI, WV",Workhorse/Pollinator,Purple,Yes,Jul–Sep,2–6,,,,,,"Sun, Part Shade, Shade",Dry,,,,,,,,,,,,,,Available 2017,Very High,Adult Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Hummingbirds",Yes,Yes,Yes,Yes,,Yes,,,,,,,Yes,,
23,Ageratina altissima,AGAL5,1,1,1,1,3,6,2,"Arcadia Washington, Archewild Quakertown, Northeast Quakertown",ErnstSeed.com,Longwood Gardens,Yes,,6.1,Yes,No,No,Herb (perennial),Ageratina altissima,White Snakeroot,Asteraceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV",Workhorse/Pollinator,,,,,,,,,,,Dry,,,,,,,,,,,,,,Available 2017,High,Adult Food; Larval Food,"Native Bees; Honey Bees; Beetles, Wasps, Flies; Larval Host (Moth)",Yes,,Yes,Yes,,,,,,,Yes,"Haploa clymene, Leucospilapteryx venustella, Melanchra adjuncta, Samia cynthia cynthia",,,
24,Alisma subcordatum,ALSU,1,1,1,0,1,5,0,Edge ot Woods Orefield,ErnstSeed.com,XERCES Pennsylvania Pollinator Mix - XERC00105,No,,2.0,No,No,No,Herb (perennial),Alisma subcordatum,American Water Plantain,Alismataceae,"L48 (N), CAN (N)","AL, AR, AZ, CA, CO, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV",Workhorse,White,Yes,May–Jun,0.5,Moderate,Single Crown,Erect,No Color,Deciduous,"Sun, Part Shade",Wet,High,,None,5–7,Medium,Moderate,"Spring, Summer",None,No,None,High,,"Seed, Bare root, Sprig",Available 2017,None Known,,,,,,,,,,,,,,,,,
25,Allium canadense,ALCA3,1,1,1,0,1,4,0,Hungry Hook Bainbridge,PlantMoreNatives.com,XERCES Pennsylvania Pollinator Mix - XERC00105,No,,3.6,Yes,Yes,No,Herb (perennial),Allium canadense,Meadow Garlic,Liliaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV",Pollinator,Violet,Yes,May–Jun,1–1.5,,,,,,"Sun, Part Shade","Moist, Dry",,,,,,,,,,,,,,Available 2017,High,Adult Food,"Native Bees; Beetles, Wasps, Flies; Moths; Butterflies",Yes,,,Yes,Yes,Yes,,,,,,,,,
26,Allium cernuum,ALCE2,1,1,1,0,8,6,0,"Arcadia Washington, Collins Glenside, Earthbound Ephrata, Gino's Newtown, Hungry Hook Bainbridge, Keystone Robesonia, Northeast Quakertown, Redbud Media",ErnstSeed.com,XERCES Pennsylvania Pollinator Mix - XERC00105,No,,6.0,Yes,Yes,No,Herb (perennial),Allium cernuum,Nodding Onion,Liliaceae,"L48 (N), CAN (N)","AL, AR, AZ, CO, DC, GA, IA, ID, IL, IN, KY, MD, MI, MN, MO, MS, MT, NC, NE, NJ, NM, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY",Workhorse/Pollinator,"White, purple",Yes,Jul–Aug,1–3,,,,,,"Sun, Part Shade",Dry,,,,,,,,,,,,,,Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Moth)",Yes,Yes,Yes,Yes,,Yes,,,,,Yes,"Schinia rosea, Spodoptera ornithogalli",,,
27,Allium schoenoprasum,ALSC,0,0,0,0,0,4,0,,PlantMoreNatives.com,XERCES Pennsylvania Pollinator Mix - XERC00105,No,,2.2,Yes,Yes,No,Herb (perennial),Allium schoenoprasum,Wild Chives,Liliaceae,"L48 (NI), AK (NI), CAN (NI)","AK, CO, CT, IA, ID, IL, IN, MA, MD, ME, MI, MN, MO, MT, NH, NJ, NV, NY, OH, OR, PA, RI, UT, VA, VT, WA, WI, WY",Pollinator,,Yes,,,,,,,,,"Wet, Moist, Dry",,,,,,,,,,,,,,Available 2017,Medium,Adult Food,Native Bees; Moths; Butterflies,Yes,,,,Yes,Yes,,,,,,,,,
28,Allium tricoccum,ALTR3,1,1,1,0,2,4,0,"Gino's Newtown, Redbud Media",PlantMoreNatives.com,XERCES Pennsylvania Pollinator Mix - XERC00105,No,,4.6,Yes,Yes,No,Herb (perennial),Allium tricoccum,Ramp,Liliaceae,"L48 (N), CAN (N)","AL, CT, DC, DE, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, NC, ND, NH, NJ, NY, OH, OK, PA, RI, SD, TN, VA, VT, WI, WV",Pollinator,,Yes,,,,,,,,,"Moist, Dry",,,,,,,,,,,,,,Available 2017,High,Adult Food,Native Bees; Bombus; Moths; Butterflies,Yes,Yes,,,Yes,Yes,,,,,,,,,
29,Alnus incana,ALIN2,1,1,1,0,1,4,0,Go Native Trees,PlantMoreNatives.com,XERCES Pennsylvania Pollinator Mix - XERC00105,No,,4.2,Yes,Yes,No,"Tree, Shrub",Alnus incana,Gray Alder,Betulaceae,"L48 (N), AK (N), CAN (N), SPM (N)","AK, AZ, CA, CO, CT, IA, ID, IL, IN, MA, MD, ME, MI, MN, MT, ND, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, UT, VA, VT, WA, WI, WV, WY",Workhorse/Pollinator,Purple,No,Apr–May,25,Short,Thicket Forming,Erect,No Color,Deciduous,"Sun, Part Shade","Wet, Moist, Dry",High,,None,5–7,Medium,Rapid,"Spring, Summer",None,No,Low,High,Medium/Low,"Seed, Container, Bare root",Available 2017,Medium,Adult Food; Larval Food,Native Bees; Larval Host (Butterfly); Larval Host (Moth); Wind,Yes,,,,,,,,,Yes,Yes,"Achatia distincta, Achiearis infans, Acleris braunana, Acleris caliginosana, Acleris cornana, Acleris fuscana, Acleris logiana placidana, Acleris maccana, Acrobasis rubrifasciella, Acronicta americana, Acronicta dactylina, Acronicta fragilis, Acronicta grisea, Acronicta hesperida, Acronicta impleta, Acronicta impressa, Acronicta innotata, Acronicta leporina, Aethalura intertexta, Agonopterix argillacea, Amorbia humerosana, Amphipyra pyramidoides, Anagoga occiduaria, Anaplectoides pressus, Anavitrinella pampinaria, Andropolia aedon, Antepione thisoaria, Antheraea polyphemus polyphemus, Archips argyrospila, Archips cerasivorana, Archips negundana, Archips rosana, Autographa ampla, Baileya doubledayi, Baileya ophthalmica, Bibarrambla allenella, Biston betularia cognataria, Caloptilia alnivorella, Caloptilia pulchella, Campaea perlata, Choristoneura conflictana, Choristoneura rosaceana, Clepsis persicana, Clostera albosigma, Coleophora fuscedinella, Coleophora serratella, Colocasia flavicornis, Colocasia flavicornis electa, Cucullia intermedia, Cucullia lucifuga, Cyclophora pendulinaria, Drepana arcuata, Drepana bilineata, Eacles imperialis, Ectropis crepuscularia, Elpiste lorquinaria, Enargia decolor, Epinotia rectiplicana, Epinotia solandriana, Erannis tiliaria vancouverensis, Eulithis xylina, Eulithis xylina speciosa, Eupithecia ravocostaliata, Euplexia benesimilis, Eupsilia tristigmata, Eurois astricta, Evora hemidesma, Gluphisia septentrionis, Gretchena semialba, Hemileuca nevadensis -complex, Heterocampa biundata, Homoglaea hircina, Hyalophora cecropia, Hyalophora columbia columbia, Hydria undulata, Hydriomena furcata, Hydriomena renunciata, Hypagyrtis unipunctata, Hyphantria cunae, Hyphantria cunea, Iridopsis emasculata, Iridopsis larvaria, Lacanobia radix, Limenitis arthemis, Limenitis arthemis rubrofasciata, Lithophane amanda, Lithophane dilatocula, Lithophane fagina, Lithophane pexata, Lithophane thaxteri, Lobophora nivigerata, Lomanaltes eductalis, Lophocampa maculata, Lycia rachelae, Lycia ursaria, Lymantria dispar, Macaria exauspicata, Malacosoma californica pluvialis, Malacosoma disstria, Melanchra adjuncta, Melanchra assimilis, Melanolophia canadaria, Metarranthis duaria, Morrisonia latex, Nadata gibbosa, Nealgedonia extricalis dionalis, Nematocampa filamentaria, Nemoria mimosaria, Nites betulella, Nites grotella, Olethreutes appendiceum, Olethreutes submissana, Orgyia antiqua, Orgyia antiqua nova, Orgyia leucostigma, Orgyia leucostigma plagiata, Orthosia hibisci, Orthosia rubescens, Orthotaenia undulana, Palthis angulalis, Pandemis canadana, Pandemis limitata, Pandemis pyrusana, Papilio glaucus, Papilio glaucus canadensis, Papilio glaucus glaucus, Papilio rutulus, Paradiarsia littoralis, Pero morrisonaria, Phlogophora periculosa, Phlyctaenia coronata tertialis, Phyllodesma americana, Phyllonorycter alnicolella, Phyllonorycter auronites, Phyllonorycter incanella, Plagodis alcoolaria, Plagodis phlogosaria, Plemyria georgii, Polia imbrifera, Polia nimbosa, Probole amicaria, Prochoerodes transversata, Protitame virginalis, Pseudothyatira cymatophoroides, Raphia frater, Rheumaptera hastata, Rheumaptera subhastata, Schizura concinna, Schizura ipomoeae, Schizura unicornis, Selenia alciphearia, Semiothisa aemulataria, Semiothisa ulsterata, Sparganothis pettitana, Sparganothis reticulatana, Sphinx gordius, Sphinx luscitiosa, Spiramater lutra, Stigmella canadensis, Synaxis jubararia, Syndemis afflictana, Tacparia detersata, Tortricidia testacea, Venusia cambrica, Venusia pearsalli, Zale metatoides, Zale minerea norda",,,Yes
30,Alnus serrulata,ALSE2,1,1,1,0,5,5,0,"Archewild Quakertown, Collins Glenside, Edge ot Woods Orefield, Gino's Newtown, Redbud Media",PlantMoreNatives.com,XERCES Pennsylvania Pollinator Mix - XERC00105,No,,6.2,Yes,No,No,"Tree, Shrub",Alnus serrulata,Hazel Alder,Betulaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, ME, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WV",Pollinator,Brown,No,Apr–May,12–20,Moderate,Multiple Stem,Erect,No Color,Deciduous,"Sun, Part Shade",Wet,High,,None,5–7,Medium,Rapid,"Spring, Summer",None,No,Low,High,Medium/Low,"Seed, Container, Bare root",Available 2017,Medium,Adult Food; Larval Food,Native Bees; Larval Host (Moth); Wind,Yes,,,,,,,,,,Yes,"Acrobasis rubrifasciella, Antheraea polyphemus polyphemus, Bucculatrix locuples, Eurois astricta, Hyalophora cecropia, Hydriomena furcata, Lophocampa caryae, Lymantria dispar, Phyllonorycter basistrigella",,,Yes
31,Alnus viridis,ALVI5,0,0,0,0,0,5,0,,PlantMoreNatives.com,XERCES Pennsylvania Pollinator Mix - XERC00105,No,,3.2,Yes,Yes,No,"Tree, Shrub",Alnus viridis,Green Alder,Betulaceae,"L48 (N), AK (N), CAN (N), GL (N), SPM (N)","AK, CA, ID, MA, ME, MI, MN, MT, NC, NH, NY, OR, PA, TN, VT, WA, WI, WY",Pollinator,Yellow,No,Jun–Aug,3–9,Long,Multiple Stem,Erect,No Color,Deciduous,"Sun, Part Shade","Wet, Moist",High,,None,5–7.5,Low,Slow,"Spring, Summer",Medium,Yes,Low,High,Low/Low,"Seed, Container, Bare root",Available 2017,Medium,Adult Food; Larval Food,Native Bees; Larval Host (Butterfly); Larval Host (Moth); Wind,Yes,,,,,,,,,Yes,Yes,"Acronicta grisea, Acronicta lanceolaria, Anagoga occiduaria, Apotomis bifida, Aseptis binotata, Caloptilia alnivorella, Campaea perlata, Choreutis diana, Clepsis melaleucana, Clepsis persicana, Coleophora persimplexella, Cyclophora pendulinaria, Drepana arcuata, Elpiste lorquinaria, Epinotia albangulana, Euchlaena tigrinaria, Eupithecia georgii, Eupithecia sheppardata, Hyalophora euryalus, Iridopsis emasculata, Lambdina fiscellaria, Lithophane petulca, Macaria exauspicata, Melanolophia imitata, Nematocampa filamentaria, Orgyia leucostigma plagiata, Papestra cristifera, Papestra invalida, Papilio rutulus, Phyllodesma americana, Phyllonorycter alaskana, Plagodis phlogosaria, Plemyria georgii, Polygonia faunus, Probole amicaria, Rheumaptera subhastata, Semiothisa ulsterata, Spilonota ocellana, Synaxis cervinaria, Venusia pearsalli",,,Yes
32,Amaranthus retroflexus,AMRE,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.2,Yes,No,No,Herb (annual),Amaranthus retroflexus,Redroot Amaranth,Amaranthaceae,"L48 (N), AK (I), HI (I), CAN (I), SPM (I)","AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",Pollinator,,No,,,,,,,,,"Moist, Dry",,,,,,,,,,,,,,Available 2017,Medium,Adult Food; Larval Food,Native Bees; Larval Host (Moth),Yes,,,,,,,,,,Yes,"Coleophora lineapulvella, Epiblema otiosana, Papaipema nebris, Platynota nigrocervina, Scythris trivinctella, Spodoptera exigua, Spodoptera ornithogalli",,,
33,Amelanchier arborea,AMAR3,1,1,1,0,2,4,0,"Edge ot Woods Orefield, Redbud Media",PlantMoreNatives.com,XERCES Pennsylvania Pollinator Mix - XERC00105,No,,5.2,Yes,No,No,"Tree, Shrub",Amelanchier arborea,Common Serviceberry,Rosaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV",Pollinator,White,Yes,Apr–May,15–20,Moderate,Single Stem,Erect,Color,Deciduous,"Sun, Part Shade","Moist, Dry",Medium,,Low,4.8–7.5,Medium,Slow,"Spring, Summer",Low,Yes,Low,Medium,Low/Low,"Seed, Container, Bare root, Cutting",Available 2017,Medium,Adult Food; Larval Food,"Native Bees; Beetles, Wasps, Flies; Larval Host (Moth)",Yes,,,Yes,,,,,,,Yes,"Eupsilia tristigmata, Lithophane bethunei, Lithophane fagina, Nadata gibbosa, Synanthedon exitiosa, Tischeria amelanchieris",,,
34,Amelanchier canadensis,AMCA4,1,1,1,0,9,4,0,"Archewild Quakertown, Bowman's New Hope, Collins Glenside, Edge ot Woods Orefield, Gino's Newtown, Hungry Hook Bainbridge, Musser Indiana, Perennial New Bloomfield, Redbud Media",PlantMoreNatives.com,XERCES Pennsylvania Pollinator Mix - XERC00105,No,,7.0,Yes,Yes,No,"Tree, Shrub",Amelanchier canadensis,Canadian Serviceberry,Rosaceae,"L48 (N), CAN (N)","AL, CT, DC, DE, GA, MA, MD, ME, MS, NC, NH, NJ, NY, PA, RI, SC, TN, VA, WV",Workhorse/Pollinator,White,Yes,Apr–May,23,Long,Multiple Stem,Erect,Color,Deciduous,"Sun, Part Shade","Wet, Moist, Dry",Medium,,Medium,5.5–7.5,Medium,Moderate,"Spring, Summer",High,Yes,Low,High,High/Medium,"Seed, Container, Bare root",Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Larval Host (Butterfly); Larval Host (Moth)",Yes,Yes,Yes,Yes,,,,,,Yes,Yes,"Abagrotis barnesi, Antheraea polyphemus polyphemus, Halysidota tessellaris, Hyalophora cecropia, Hyphantria cunae, Malacosoma americana, Megalopyge crispata, Orgyia leucostigma, Papilio glaucus canadensis, Parornix quadripunctella, Phobetron pithecium, Phyllonorycter crataegella, Pseudotelphusa amelanchierella, Satyrium liparops, Stigmella amelanchierella, Stigmella chalybeia, Synanthedon pictipes, Synanthedon pyri",,,
